,E_Equipment Serial Number,E_OEM Nameplate SN
8022,BH0112089,GT76
8023,282447,282447
8024,900017,05437
8025,804957,05764
8026,282213,05532
8027,282212,05531
8028,282050,282050
8029,281924,281924
8030,282052,282052
8031,282175,282175
8032,245248,571680
8033,281708,281708
8034,282151,282151
8035,282150,282150
8036,282020,282020
8037,245258,GT252
8038,245259,GT253
8039,245257,GT251
8040,245291,245291
8041,244905,244905
8042,281819,281819
8043,244541,244541
8044,244757,244757
8045,147738,147738
8046,244869,GT192
8047,282149,282149
8048,281997,281997
8049,281847,05446
8050,281846,281846
8051,281663,281663
8052,147737,147737
8053,226178,226178
8054,226177,226177
8055,244540,244540
8056,179537,179537
8057,179538,179538
8058,226141,GT104
8059,801989,801989
8060,801992,801992
8061,801988,801988
8062,806004,806004
8063,806003,806003
8064,214082,GT25
8065,802030,802030
8066,147735,147735
8067,147736,147736
8068,147801,147801
8069,820870,7229217
8070,812155,812155
8071,179110,179110
8072,179195,179195
8073,810317,810317
8074,850157,G08303
8075,EGG0188,T273
8076,THM0021,296711
8077,244576,244576
8078,244438,244438
8079,244437,244437
8080,244436,244436
8081,BH0094833,
8082,BH0094832,
8083,BH0094831,
8084,244895,GT99
8085,244901,GT212
8086,244900,GT199
8087,244894,GT114
8088,G06083,G06083
8089,930221,05815
8090,930187,05681
8091,G06438,G06438
8092,G06439,G06439
8093,819403,T243
8094,214003,214003
8095,282144,282144
8096,214218,214218
8097,296412,05711
8098,809950,809950
8099,809949,809949
8100,809948,809948
8101,809947,809947
8102,297100,TH012
8103,809473,05898
8104,809164,809164
8105,809203,809203
8106,809192,809192
8107,809190,809190
8108,282403,282403
8109,809214,809214
8110,812320,812320
8111,809186,809186
8112,809185,809185
8113,281679,281679
8114,281992,281992
8115,809159,809159
8116,809184,809184
8117,809183,809183
8118,812452,812452
8119,G06574,G06574
8120,281933,281933
8121,11449,T220
8122,282385,282385
8123,808744,808744
8124,808743,808743
8125,248861,248861
8126,244391,244391
8127,244390,244390
