E_Equipment Serial Number;E_OEM Nameplate SN
GG691252;691252
GG691084;691084
GG417187;417187
GG417189;417189
GG417197;417197
GG417180;417180
GG671200;671200
GG691011;691011
GG671141;671141
GG636050;636050
GG636102;636102
GG671185;671185
GG635102;635102
GG635101;635101
GG751026;751026
GG751017;751017
GG671140;671140
GG642130;642130
GG642118;642118
GG751031;751031
GG751085;751085
GG751065;751065
GG642126;642126
GG642116;642116
GG481522;481522
GG481691;481691
GG691111;691111
GG691167;691167
GG691160;691160
GG691285;691285
GG691235;691235
GG691148;691148
GG691916;691916
GG691286;691286
GG751029;751029
GG185196;185196
GG336103;336103
GG336106;336106
GG641192;641192
GG641194;641194
GG641191;641191
GG677124;677124
GG677119;677119
GG677123;677123
GG677125;677125
GG677118;677118
GG677117;677117
GG677127;677127
GG677126;677126
GG677120;677120
GG677121;677121
GG559139;559139
GG559138;559138
GG559135;559135
GG191287;191287
GG403146;403146
GG417410;417410
GG417190;417190
GG417423;417423
GG417422;417422
GG417421;417421
GG192171;192171
GG192195;192195
GG192231;192231
GG192172;192172
GG192224;192224
GG751036;751036
GG671132;671132
GG671130;671130
GG671133;671133
GG192178;192178
GG192190;192190
GG192265;192265
GG192150;192150
GG192186;192186
GG481535;481535
GG481530;481530
GG481356;481356
GG481880;481880
GG481397;481397
GG481534;481534
GG671161;671161
GG671160;671160
GG691069;691069
GG481372;481372
GG481556;481556
GG481833;481833
GG481711;481711
GG481622;481622
GG481623;481623
GG481653;481653
GG481857;481857
GG481747;481747
GG481523;481523
GG481609;481609
GG481608;481608
GG481841;481841
GG559051;559051
GG642115;642115
GG481540;481540
GG481516;481516
GG671061;671061
GG691164;691164
GG481701;481701
GG481652;481652
GG691165;691165
GG481856;481856
GG481884;481884
GG481859;481859
GG672106;672106
GG481202;481202
GG481749;481749
GG481855;481855
GG481577;481577
GG481601;481601
GG481890;481890
GG481201;481201
GG481710;481710
GG481203;481203
GG481848;481848
GG481851;481851
GG481251;481251
GG481392;481392
GG481518;481518
GG481555;481555
GG481657;481657
GG481620;481620
GG691016;691016
GG191353;191353
GG191698;191698
GG557203;557203
GG191780;191780
GG191756;191756
GG481926;481926
GG481895;481895
GG481784;481784
GG185145;185145
GG335108;335108
GG474189;474189
GG481971;481971
GG691104;691104
GG691224;691224
GG691113;691113
GG481866;481866
GG691211;691211
GG641142;641142
GG481915;481915
GG642297;642297
GG642270;642270
GG642204;642204
GG642202;642202
